YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2003,-6.90,-0.80,-2.70,-2.00,-0.70,3.50,5.80,6.90,4.80,-0.30,1.20,-5.00,-2.40,-1.80,5.40,1.90,0.78
2004,-3.50,-5.20,-0.80,-0.20,0.90,3.30,6.30,7.30,5.80,1.70,-2.30,-3.50,-4.57,-0.03,5.63,1.73,0.69
2005,-2.00,-3.00,-2.60,-0.50,-0.50,3.20,6.10,6.90,2.50,-0.10,-1.90,-0.80,-2.83,-1.20,5.40,0.17,0.38
2006,-0.20,-2.50,-3.50,-0.50,0.80,3.10,5.40,6.60,4.80,0.50,-2.40,-0.80,-1.17,-1.07,5.03,0.97,0.94
2007,-4.90,-2.60,-1.40,-2.00,1.00,3.60,5.50,6.00,3.10,0.60,-3.30,-1.30,-2.77,-0.80,5.03,0.13,0.40
2008,-2.80,-2.70,-4.60,-1.80,1.10,3.30,6.10,6.90,5.80,1.20,-3.50,-0.80,-2.27,-1.77,5.43,1.17,0.64
2009,-2.30,-5.30,-3.20,-1.60,2.00,2.90,6.70,7.20,3.80,0.60,-0.30,-1.30,-2.80,-0.93,5.60,1.37,0.81
2010,-1.10,-3.40,-5.10,-2.50,0.10,2.50,6.20,6.40,5.70,1.70,-1.80,-3.10,-1.93,-2.50,5.03,1.87,0.62
2011,999.90,-0.60,-5.90,-0.50,1.00,3.50,5.30,6.10,5.90,2.10,1.30,-3.30,-1.90,-1.80,4.97,3.10,1.09
2012,0.50,-3.70,-2.30,-4.50,-0.60,2.40,4.80,5.90,3.30,1.00,-1.10,-2.10,-2.17,-2.47,4.37,1.07,0.20
2013,-1.60,-2.10,-5.80,-4.20,0.80,4.40,5.40,5.90,5.30,0.70,-5.00,-1.90,-1.93,-3.07,5.23,0.33,0.14
2014,1.50,-1.20,-1.90,-1.90,0.40,4.70,7.40,7.10,5.80,3.00,1.40,-3.60,-0.53,-1.13,6.40,3.40,2.03
2015,-1.20,-4.90,-1.80,999.90,0.10,2.60,5.80,7.10,5.90,2.60,-0.60,-2.90,-3.23,-1.09,5.17,2.63,0.87
2016,-1.30,-3.00,-2.30,-1.50,1.80,4.40,6.60,6.80,6.70,5.90,2.10,-0.50,-2.40,-0.67,5.93,4.90,1.94
2017,-3.30,-1.20,-4.20,-2.10,1.90,4.80,6.90,7.10,7.60,4.70,999.90,999.90,-1.67,-1.47,6.27,4.83,1.99
