Timestamp,Solar Radiation,Relative Humidity,Temperature,Wind Direction,Wind Speed
3/1/18 19:00,0.1,86.52,5.55,169.2274,3.52
3/1/18 18:30,0.14,86.7,5.54,166.6075,3.32
3/1/18 18:00,0.13,87.56,5.19,172.9621,3.57
3/1/18 17:30,0.07,86.45,5.13,180.2412,3.45
3/1/18 17:00,0.05,86.16,5.31,186.8143,3.36
3/1/18 16:30,0.04,86.75,5.54,186.2749,4.29
3/1/18 16:00,0.16,89.67,5.52,184.6069,3.77
3/1/18 15:30,13.22,90.62,5.59,175.1975,3.88
3/1/18 15:00,24.75,91.83,5.39,170.1807,3.85
3/1/18 14:30,16.15,92.74,5.04,173.6598,3.52
3/1/18 14:00,14.53,91.88,4.8,174.6176,3.58
3/1/18 13:30,11.27,91.54,4.42,170.1649,3.43
3/1/18 13:00,11.78,90.45,3.31,177.0981,2.47
3/1/18 12:30,16.75,88.86,2.49,135.2592,6.5
3/1/18 12:00,17.13,89.18,2.94,135.3421,6.89
3/1/18 11:30,15.99,89.49,2.77,130.7604,7.22
3/1/18 11:00,12.37,88.67,2.79,128.4312,6.6
3/1/18 10:30,14.99,87.92,3.03,135.7801,7.53
3/1/18 10:00,7.87,87.91,3.31,131.4613,7.76
3/1/18 9:30,5.06,87.79,3.47,135.6861,8.03
3/1/18 9:00,2.12,87.49,3.61,137.0576,8.4
3/1/18 8:30,0.47,87.14,3.62,136.0322,8.62
3/1/18 8:00,0.08,87.48,3.55,130.8832,7.84
3/1/18 7:30,0.06,86.56,3.37,130.9206,7.78
3/1/18 7:00,0.07,84.83,3.47,133.6071,7.68
3/1/18 6:30,0.06,81.49,3.94,142.6635,9.01
3/1/18 6:00,0.08,79.6,4.53,134.5731,7.08
3/1/18 5:30,0.09,81.71,4.4,132459,6.99
3/1/18 5:00,0.09,84.24,4.34,133.1305,7.45
3/1/18 4:30,0.09,86.38,4.38,137669,6.6
3/1/18 4:00,0.09,86.64,4.39,144.6026,6.46
3/1/18 3:30,0.1,86.22,4.49,142.7336,6.11
3/1/18 3:00,0.09,85.68,4.62,140.6259,6.15
3/1/18 2:30,0.09,85.53,4.7,153.9994,5.09
3/1/18 2:00,0.1,86.39,4.84,152.3151,4.43
3/1/18 1:30,0.09,87.52,4.54,162.7545,4.4
3/1/18 1:00,0.09,87.24,4.58,166.3479,4.71
3/1/18 0:30,0.09,87.23,4.53,171683,4.16
3/1/18 0:00,0.08,87.6,4.56,177.7473,3.82
2/1/18 23:30,0.07,88.22,4.57,180.2382,4.34
2/1/18 23:00,0.09,88.25,4.56,184.8035,4.09
2/1/18 22:30,0.09,89.41,4.54,182.7548,4.17
2/1/18 22:00,0.09,89.02,4.67,179168,3.59
2/1/18 21:30,0.06,89.53,4.49,184.9437,3.86
2/1/18 21:00,0.07,90.06,4.41,197.4769,3.69
2/1/18 20:30,0.07,90.42,4.26,200.8708,3.53
2/1/18 20:00,0.07,90.72,4.22,212.2179,3.9
2/1/18 19:30,0.07,91.15,4.15,214.6195,4.17
2/1/18 19:00,0.06,91.85,4.09,213.0939,4.26
2/1/18 18:30,0.06,91.08,4.13,197.7029,3.15
2/1/18 18:00,0.06,90.23,4.31,189.6801,2.84
2/1/18 17:30,0.06,89.63,4.48,199.7761,2.95
2/1/18 17:00,0.06,89.54,4.56,210.1281,3.71
2/1/18 16:30,0.06,88.39,4.79,210.8175,3.81
2/1/18 16:00,0.08,86.4,5.07,208.9733,3.74
2/1/18 15:30,3.56,84.78,5.39,217.0584,3.73
2/1/18 15:00,25.43,83.87,5.61,218019,3.85
2/1/18 14:30,58.73,82.84,5.8,227614,3.88
2/1/18 14:00,94.09,82.74,5.92,219.7287,3.59
2/1/18 13:30,98.51,83.49,5.8,227497,3.8
2/1/18 13:00,126.1,83.17,5.8,215.3974,3.36
2/1/18 12:30,121.99,83.15,5.72,212.2332,3.09
2/1/18 12:00,96.09,83.09,5.71,217.3493,3.14
2/1/18 11:30,116.4,82.79,5.76,234097,3.52
2/1/18 11:00,185.57,84.46,5.55,226.02,3.35
2/1/18 10:30,107.88,86.92,5.06,219.0881,3.25
2/1/18 10:00,38.04,87.98,4.8,237.6559,4.01
2/1/18 9:30,20.79,87.97,4.85,241.7953,4.59
2/1/18 9:00,13.4,87.64,4.94,239.4254,4.29
2/1/18 8:30,3.2,87.73,4.91,219975,3.65
2/1/18 8:00,0.18,88.3,4.83,213.4268,3.69
2/1/18 7:30,0.08,88.89,4.74,210.2391,3.4
2/1/18 7:00,0.09,88.31,4.83,194.6158,3.16
2/1/18 6:30,0.08,88.77,4.72,209.6999,3.46
